root0,root1,root2,root3,root4,root5,lowerback0,lowerback1,lowerback2,upperback0,upperback1,upperback2,thorax0,thorax1,thorax2,lowerneck0,lowerneck1,lowerneck2,upperneck0,upperneck1,upperneck2,head0,head1,head2,rclavicle0,rclavicle1,rhumerus0,rhumerus1,rhumerus2,rradius0,rwrist0,rhand0,rhand1,rfingers0,rthumb0,rthumb1,lclavicle0,lclavicle1,lhumerus0,lhumerus1,lhumerus2,lradius0,lwrist0,lhand0,lhand1,lfingers0,lthumb0,lthumb1,rfemur0,rfemur1,rfemur2,rtibia0,rfoot0,rfoot1,rtoes0,lfemur0,lfemur1,lfemur2,ltibia0,lfoot0,lfoot1,ltoes0
1.92817,18.4484,-23.8615,6.62406,1.07637,-4.53411,16.5454,0.478852,5.05221,-0.650507,1.69026,0.604252,-9.90547,0.56122,-2.62729,-0.958909,-1.63894,-0.790949,-10.7518,-1.96873,2.78902,-3.24357,-1.04271,1.09235,-9.83984e-15,-1.98785e-16,-33.3272,19.8331,-85.5754,114.767,-4.39005,-32.0974,32.0117,7.12502,-5.34275,2.099,-9.83984e-15,-1.98785e-16,-66.0662,-5.90077,95.5877,107.287,27.3635,-37.0271,8.98768,7.12502,-10.1008,38.7252,24.5699,11.6453,32.2157,5.96951,31.2717,-15.0453,10.2654,-46.368,-5.84919,-12.8968,64.4305,2.92034,-7.46712,-16.2976
1.94218,18.5213,-23.2972,6.55415,0.880808,-4.6226,15.7909,0.545039,5.06705,-0.356735,1.72572,0.644406,-9.14903,0.606427,-2.57816,-1.41003,-1.52714,-1.25501,-10.5776,-1.8171,2.9135,-3.09896,-0.949908,1.20102,1.05853e-14,-1.63003e-14,-33.4054,20.8679,-85.6661,114.672,-4.14849,-32.0525,32.2448,7.12502,-5.29943,2.33103,1.05853e-14,-1.63003e-14,-65.9108,-4.84094,95.2278,107.393,26.6981,-37.3497,9.83702,7.12502,-10.412,39.5592,25.7922,11.7754,32.4635,6.05428,34.0186,-13.7796,15.1407,-45.3114,-6.14404,-12.5359,58.9192,3.50205,-7.21054,-15.9098
1.93878,18.5638,-22.8117,7.14512,2.52252,-4.50808,15.4451,0.102248,5.22514,-0.535562,1.15348,0.643306,-9.19222,0.321309,-2.53265,-1.8999,-1.59946,-1.35029,-10.4699,-1.91872,2.85057,-2.96904,-0.991148,1.19015,1.29955e-14,-1.2921e-15,-33.598,21.4398,-85.8111,114.475,-3.95935,-32.149,32.5873,7.12502,-5.3926,2.67594,1.29955e-14,-1.2921e-15,-65.7767,-4.30252,94.9114,107.611,26.2414,-37.1155,9.22481,7.12502,-10.186,38.9582,24.5555,10.1884,32.6087,8.9633,33.7405,-11.4277,18.9252,-45.682,-7.6719,-12.1334,53.5658,4.98692,-7.52324,-13.813
1.95713,18.6048,-22.2743,6.70927,2.25966,-4.72669,15.718,0.4016,5.61403,-0.496373,1.61507,0.393334,-9.24979,0.515528,-3.13424,-1.74845,-1.86748,-0.729856,-10.621,-2.29675,2.53183,-3.0481,-1.19367,0.990951,-2.09221e-14,-1.82882e-14,-34.3721,21.2083,-86.3305,114.283,-3.73912,-31.8233,32.4649,7.12502,-5.07816,2.54576,-2.09221e-14,-1.82882e-14,-66.0095,-4.57283,94.5323,107.923,26.1245,-35.8083,7.69523,7.12502,-8.92479,37.4865,25.0135,10.283,33.0893,11.4191,33.0212,-8.59901,19.2002,-43.9828,-7.97002,-11.6651,48.0647,5.53298,-6.99834,-13.8761
1.9589,18.6271,-21.7594,7.05142,2.73986,-5.09209,15.1848,0.409566,6.00448,-0.498195,1.65923,0.385201,-8.93462,0.529237,-3.36014,-1.95987,-2.00053,-0.362631,-10.9337,-2.49442,2.20338,-3.1205,-1.2954,0.826584,-2.55438e-14,-2.18663e-15,-34.6998,21.3551,-86.5647,113.952,-3.85,-31.3634,32.4452,7.12502,-4.63404,2.51592,-2.55438e-14,-2.18663e-15,-65.6522,-4.62051,94.2319,108.145,25.8959,-34.4841,6.91868,7.12502,-7.64683,36.7604,24.002,9.81022,33.7342,14.778,31.4278,-5.78431,17.3013,-43.3058,-8.63816,-10.8389,42.6812,6.03634,-5.93395,-18.061
1.96182,18.6459,-21.2332,6.68145,2.80675,-5.54176,15.1291,0.432412,6.19721,-0.0319562,1.71287,0.538888,-8.38694,0.579055,-3.30697,-2.7656,-2.00451,-0.311559,-11.2242,-2.50887,2.04927,-3.07436,-1.29694,0.759986,2.6339e-14,1.74931e-14,-34.4937,21.801,-86.6231,113.326,-3.84941,-31.4638,32.1193,7.12502,-4.73098,2.19212,2.6339e-14,1.74931e-14,-64.4684,-4.38231,94.0109,108.028,25.5802,-33.1589,6.34522,7.12502,-6.36766,36.2295,23.6867,9.59989,34.5008,18.1839,29.9523,-3.78083,16.5272,-41.6635,-9.03026,-10.1055,37.5891,6.68943,-4.65868,-19.9195
1.96161,18.6511,-20.7171,6.5448,2.80431,-6.1276,15.0283,0.476267,6.44983,0.357256,1.80527,0.730836,-7.89606,0.643295,-3.25463,-3.75191,-1.96478,-0.252719,-11.4453,-2.46677,1.88595,-2.97371,-1.26971,0.685006,2.28602e-15,8.94531e-15,-34.365,22.2499,-86.7017,112.595,-3.65624,-31.8226,31.1659,7.12502,-5.07747,1.24672,2.28602e-15,8.94531e-15,-63.1992,-4.26704,93.8862,108.023,25.4025,-32.4127,5.73612,7.12502,-5.64715,35.6409,22.8997,9.53434,35.356,22.0372,29.2651,-2.342,17.5955,-40.3539,-9.48283,-9.05873,33.0026,7.05345,-3.62816,-20.6323
1.95222,18.6395,-20.2079,6.33818,2.649,-6.48208,15.138,0.618021,6.29483,0.667831,1.97134,0.876416,-7.61354,0.748302,-3.04418,-4.60222,-1.92749,-0.305795,-11.4897,-2.41229,1.90971,-2.83573,-1.23733,0.689495,-8.69683e-15,-1.63003e-14,-34.5061,22.4682,-86.8771,111.649,-3.2275,-32.1792,29.8836,7.12502,-5.42175,-0.0270581,-8.69683e-15,-1.63003e-14,-62.2254,-4.33578,93.9111,108.237,25.3642,-32.8208,5.55085,7.12502,-6.04118,35.4447,22.0811,9.3833,35.9359,26.2528,28.7396,-1.58174,18.8191,-38.8281,-9.71136,-8.39228,28.9948,6.85127,-2.83393,-20.1355
1.95113,18.6356,-19.6565,6.41361,1.12231,-6.70342,14.3917,1.23184,5.82775,1.04496,2.62811,0.848022,-6.74419,1.11911,-2.91048,-5.18079,-1.88416,-0.313996,-11.551,-2.34141,2.03872,-2.75303,-1.20257,0.724412,-1.67476e-14,9.93923e-16,-34.7561,22.5864,-87.2607,110.429,-2.31688,-32.4569,28.5711,7.12502,-5.68983,-1.33246,-1.67476e-14,9.93923e-16,-61.0332,-4.50168,93.7828,108.351,25.5956,-34.4571,6.88981,7.12502,-7.62078,36.7325,20.9993,10.2091,35.9066,30.8074,28.2992,-1.02958,18.2972,-37.1045,-8.97368,-8.04351,25.8219,5.67032,-2.29229,-24.9284
1.94437,18.5974,-19.1624,6.45969,1.11101,-6.73803,14.3706,1.17024,5.70912,1.15799,2.5119,0.722619,-6.62047,1.07053,-2.95184,-5.17238,-1.79865,-0.430038,-12.1017,-2.18187,2.4223,-2.93972,-1.13088,0.873999,3.85642e-14,8.34896e-15,-35.1581,22.6965,-87.8701,109.169,-2.0382,-32.9324,29.1327,7.12502,-6.14894,-0.758098,3.85642e-14,8.34896e-15,-59.8125,-4.66753,93.4279,108.394,25.8496,-36.0678,8.89652,7.12502,-9.1752,38.6769,19.3891,9.70225,35.8441,35.6624,28.1859,-0.923179,16.6976,-36.2421,-8.78398,-8.15691,23.573,6.11947,-0.500525,-19.7729
1.95219,18.5372,-18.6571,6.26161,1.2467,-6.43957,14.3638,1.05185,5.62475,1.31357,2.30988,0.36747,-6.45574,0.978336,-3.24032,-4.87173,-1.78818,-0.0899059,-12.725,-2.15637,2.49822,-3.21215,-1.14024,0.853384,-1.49089e-15,-1.43125e-14,-35.7555,22.4645,-88.6573,107.939,-2.15352,-33.5887,30.3413,7.12502,-6.78253,0.469912,-1.49089e-15,-1.43125e-14,-58.8094,-5.21212,93.0054,108.503,26.0389,-36.2779,9.37958,7.12502,-9.37794,39.151,17.9574,8.97779,35.3981,40.7391,27.9684,-1.61515,13.4074,-35.0866,-8.31197,-9.08923,22.051,6.10472,0.577107,-17.6489
1.9502,18.4729,-18.1561,5.79102,1.24174,-5.99903,14.6027,1.01768,5.15368,1.48164,2.17676,0.0611643,-6.4256,0.926251,-3.28,-4.41835,-1.72541,0.0452208,-12.9711,-2.04881,2.68291,-3.38201,-1.10301,0.898925,1.22253e-14,1.66979e-14,-36.4902,22.1084,-89.2781,106.576,-2.1786,-33.7812,29.494,7.12502,-6.96837,-0.371277,1.22253e-14,1.66979e-14,-57.7466,-5.88458,92.6816,108.501,26.586,-36.0669,9.34655,7.12502,-9.17436,39.127,16.6167,8.38658,34.9241,46.0052,28.1662,-2.81461,11.1979,-33.5302,-7.10126,-10.6227,20.9754,6.14624,0.746143,-22.4841
1.93949,18.3953,-17.6762,5.2689,1.75208,-5.27087,15.1727,0.824349,4.39692,1.60619,1.80151,-0.268758,-6.65428,0.754728,-3.14619,-4.48989,-1.60271,-0.020824,-12.4927,-1.85577,3.07229,-3.20187,-1.0122,1.02655,1.18277e-14,1.98785e-15,-37.0489,21.5951,-89.7432,104.855,-2.22405,-33.4666,28.6099,7.12502,-6.66465,-1.26517,1.18277e-14,1.98785e-15,-56.3475,-6.69352,92.3557,108.289,27.1597,-35.8775,10.2974,7.12502,-8.99159,40.0858,15.0391,7.28015,34.1879,51.4114,28.917,-4.14912,15.7346,-32.2237,-6.09064,-12.4563,20.3862,6.70995,0.513447,-25.4369
1.94091,18.3136,-17.1564,4.93535,1.38972,-4.22794,15.0797,0.993079,3.21156,1.80224,1.78884,-0.70982,-6.41585,0.783158,-2.93474,-4.77016,-1.5144,-0.00452224,-11.9359,-1.72397,3.39201,-2.95996,-0.949527,1.114,3.57812e-14,1.07344e-14,-37.6308,21.0543,-90.156,103.004,-2.5146,-32.3832,29.8116,7.12502,-5.61872,-0.0938743,3.57812e-14,1.07344e-14,-54.9474,-7.68482,92.1272,108.233,27.5794,-35.9255,11.7198,7.12502,-9.0379,41.5062,13.4231,6.76065,32.7204,56.7812,29.9437,-4.78684,19.5467,-30.9624,-4.94922,-14.3798,20.6648,6.11312,0.512346,-28.4764
1.9354,18.2094,-16.6591,4.45301,1.57615,-3.15933,15.4212,0.952598,1.9523,1.84359,1.51212,-1.02226,-6.60428,0.673287,-2.50681,-4.12409,-1.44309,0.0592455,-12.063,-1.61809,3.41638,-3.1228,-0.907082,1.12009,-3.79679e-14,3.57812e-15,-38.452,20.7981,-90.5087,101.12,-3.04544,-31.0584,31.0412,7.12502,-4.33957,1.10564,-3.79679e-14,3.57812e-15,-53.7433,-8.61102,92.0633,108.219,27.8727,-36.6798,12.5042,7.12502,-9.76568,42.2577,11.6821,5.56032,31.1479,62.1751,31.0977,-5.58256,19.519,-29.8745,-3.95689,-16.3736,21.4854,5.48027,-1.17898,-27.3217
1.93723,18.1228,-16.1554,4.04683,2.1114,-2.29253,15.608,0.730357,1.0455,1.86761,1.05289,-1.23338,-6.71965,0.469567,-2.12625,-3.3648,-1.38525,0.0373871,-12.1755,-1.53583,3.36625,-3.30237,-0.87147,1.11771,-2.46493e-14,8.74653e-15,-39.4112,20.5011,-90.8329,99.3211,-3.15709,-30.9593,31.0879,7.12502,-4.24386,1.1504,-2.46493e-14,8.74653e-15,-52.432,-9.4671,91.9991,108.323,28.1954,-38.04,13.7902,7.12502,-11.0778,43.4779,9.79924,3.93455,29.6012,67.3534,32.0435,-6.77566,20.5402,-28.7762,-3.0739,-18.1575,23.2973,4.39184,-4.81488,-19.0095
1.94656,18.0132,-15.6476,3.55957,2.52886,-1.54954,16.0915,0.546888,0.371094,1.7728,0.67629,-1.4699,-7.10927,0.297486,-1.92662,-3.14882,-1.35475,0.0385141,-11.559,-1.51435,3.32314,-3.12905,-0.855666,1.09634,2.78299e-15,1.11319e-14,-40.6546,19.8505,-91.2084,97.6023,-2.72464,-31.0644,31.4262,7.12502,-4.34529,1.49081,2.78299e-15,1.11319e-14,-51.2844,-10.5693,91.8878,108.666,28.7113,-38.1344,13.9646,7.12502,-11.1689,43.6473,8.08352,2.28861,27.9928,72.4219,31.739,-8.24812,24.9753,-28.1049,-2.38081,-19.6994,25.918,2.08462,-7.45824,-14.1407
1.95891,17.8901,-15.1475,3.01092,2.88956,-0.855277,16.827,0.374656,-0.229409,1.58261,0.314676,-1.68816,-7.73544,0.132296,-1.75274,-2.95581,-1.35601,-0.116705,-10.6223,-1.53361,3.40423,-2.84205,-0.854564,1.13821,-1.92821e-14,7.15625e-15,-42.0027,19.1716,-91.5713,95.8704,-2.54303,-31.134,32.5414,7.12502,-4.41253,2.60735,-1.92821e-14,7.15625e-15,-50.129,-11.7108,91.8183,109.099,29.0436,-36.4505,13.0233,7.12502,-9.54451,42.7872,6.46187,0.605549,26.2885,77.3364,30.5595,-9.62154,25.2367,-27.2703,-2.29777,-20.8653,28.9692,-1.15017,-7.53125,-14.0964
1.97301,17.7703,-14.6675,2.59403,3.75469,-0.359173,17.3885,0.000686984,-0.587942,1.54277,-0.261899,-1.77797,-8.10413,-0.136245,-1.51601,-2.47617,-1.35069,-0.140963,-10.4369,-1.54112,3.25697,-2.86646,-0.855736,1.09808,1.43125e-14,-7.95139e-16,-43.0436,18.5973,-91.7332,94.037,-2.27106,-31.5368,33.426,7.12502,-4.80151,3.5004,1.43125e-14,-7.95139e-16,-48.4582,-12.7808,91.7187,109.582,29.2818,-35.3571,13.4195,7.12502,-8.48936,43.2289,4.55657,-1.48843,24.7789,82.1425,29.1014,-10.9084,24.6158,-26.5062,-3.03617,-21.6024,31.9932,-4.33717,-7.53845,-11.6738
1.99214,17.6656,-14.1854,2.42162,5.19037,0.264679,17.5112,-0.590617,-0.876631,1.65236,-1.10621,-1.90814,-8.06854,-0.533836,-1.28842,-1.70972,-1.28047,-0.108501,-11.0227,-1.44061,3.09921,-3.21085,-0.813337,1.05724,-1.19271e-15,-1.98785e-14,-43.865,17.8243,-91.7214,92.2015,-1.61738,-31.8093,33.6813,7.12502,-5.06457,3.76184,-1.19271e-15,-1.98785e-14,-46.214,-13.8496,91.5005,109.916,29.1019,-35.2375,14.3884,7.12502,-8.37402,44.2024,2.36666,-4.11831,23.0773,86.6842,27.7944,-11.7366,23.0512,-26.272,-4.40258,-22.5019,34.9896,-6.05697,-7.541,-11.1882
1.99129,17.5729,-13.7246,1.23604,2.80024,0.68646,18.9983,0.293623,-2.24368,1.91278,-0.2523,-1.88538,-8.58119,-0.0747321,-0.699686,-1.23393,-1.19993,-0.416043,-11.5385,-1.32046,3.13186,-3.47979,-0.750136,1.13208,3.37934e-15,1.59028e-15,-44.6254,16.8926,-91.4476,90.7454,-1.39191,-32.0608,33.9503,7.12502,-5.30747,4.03681,3.37934e-15,1.59028e-15,-43.642,-14.7392,91.296,110.168,28.8013,-35.1193,13.1606,7.12502,-8.25989,42.9791,0.599589,-2.67443,21.8372,91.1776,26.6701,-12.462,20.1196,-24.5266,-2.61679,-23.2524,37.5689,-8.58467,-5.82186,-11.4258
